Storage Results,,,,,,,,,,,,,,,,,,,,,,
Context Model,Query Table,QueryJob Table,,,,,,,,,,,,,,,,,,,,
Testcase 10,,,,,,,,,,,,,,,,,,,,,,
1043,1524,113,,,,,,,,,,,,,,,,,,,,
1043,1524,113,,,,,,,,,,,,,,,,,,,,
1043,1524,113,,,,,,,,,,,,,,,,,,,,
1043,1523,113,,,,,,,,,,,,,,,,,,,,
1043,1524,113,,,,,,,,,,,,,,,,,,,,
1043,1522,113,,,,,,,,,,,,,,,,,,,,
1043,1523,113,,,,,,,,,,,,,,,,,,,,
1043,1524,113,,,,,,,,,,,,,,,,,,,,
1043,1524,113,,,,,,,,,,,,,,,,,,,,
1043,1523,113,,,,,,,,,,,,,,,,,,,,
1043,1524,113,,,,,,,,,,,,,,,,,,,,
1043,1524,113,,,,,,,,,,,,,,,,,,,,
1043,1524,113,,,,,,,,,,,,,,,,,,,,
1043,1524,113,,,,,,,,,,,,,,,,,,,,
1043,1523,113,,,,,,,,,,,,,,,,,,,,
1043,1524,113,,,,,,,,,,,,,,,,,,,,
1043,1520,113,,,,,,,,,,,,,,,,,,,,
1043,1524,113,,,,,,,,,,,,,,,,,,,,
1043,1523,113,,,,,,,,,,,,,,,,,,,,
1043,1524,113,,,,,,,,,,,,,,,,,,,,
1043,1524,113,,,,,,,,,,,,,,,,,,,,
1043,1524,113,,,,,,,,,,,,,,,,,,,,
1043,1524,113,,,,,,Storage Average,,,,,Performance Average,,,,,,,,,
1043,1524,113,,,,,,TestCase,Context Model,Query Table,QueryJob Table,,TestCase,Preparation time,Execution time,QueryHandler time,Context Model time,TestCase,Reference Back end,Solution Back end,QueryHandler time,Context Model time
1043,1524,113,,,,,,1,1043,1529.659,113,,1,47.886,752.250,14.318,16.682,1,800.136,831.136,14.318,16.682
1043,1524,113,,,,,,2,1043,1530.583,113,,2,51.083,233.278,24.167,27.028,2,284.361,335.556,24.167,27.028
1043,1524,113,,,,,,3,1043,1525.585,113,,3,71.317,236.122,22.951,28.878,3,307.439,359.268,22.951,28.878
1043,1523,113,,,,,,4,1043,1533.649,113,,4,47.108,219.243,20.351,22.838,4,266.351,309.541,20.351,22.838
1043,1524,113,,,,,,5,1043,1524.622,113,,5,49.919,234.405,26.081,35.351,5,284.324,345.757,26.081,35.351
1043,1524,113,,,,,,6,1043,1520.267,113,,6,54.689,234.933,24.956,33.000,6,289.622,347.578,24.956,33.000
1043,1523,113,,,,,,7,1043,1524.800,113,,7,47.267,223.622,25.533,30.867,7,270.889,327.289,25.533,30.867
1043,1523,113,,,,,,8,1043,1527.614,113,,8,49.659,228.432,22.909,28.409,8,278.091,329.409,22.909,28.409
